time,x,y,z,yaw,pitch,roll,horizon_x,horizon_y,horizon_z
2.2649765014648438e-05,,,,,,,[],[],[]
0.011842727661132812,-210.78982543945312,-313.91033935546875,13.7781343460083,-24.502894961000916,-3.2613557511361266,-105.09080091465424,[],[],[]
0.03183722496032715,-210.78982543945312,-313.91033935546875,13.7781343460083,-24.502894961000916,-3.2613557511361266,-105.09080091465424,"[-210.78982543945312, -210.96604485144465, -211.10387425579142, -211.20293587166904, -211.26295817806866, -211.28377665801733, -211.2653342495076, -211.2076815019003, -211.11097643737273, -210.9754841177903, -210.80157591819096, -210.5897285088718, -210.34052254886944, -210.05464109441562, -209.73286772673876, -209.3934343078265]","[-313.91033935546875, -314.63925514144114, -315.3763945851693, -316.1197372386355, -316.8672456512549, -317.61687095438646, -318.36655847713894, -319.1142533780816, -319.8579062774219, -320.5954788742126, -321.3249495331938, -322.0443188259546, -322.7516150112276, -323.44489943929585, -324.1222718657029, -324.7910655215681]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.0440518856048584,-210.89942932128906,-314.38360595703125,13.787610054016113,-24.666554237953775,-3.161428152591939,-104.29681246957585,"[-210.78982543945312, -210.96604485144465, -211.10387425579142, -211.20293587166904, -211.26295817806866, -211.28377665801733, -211.2653342495076, -211.2076815019003, -211.11097643737273, -210.9754841177903, -210.80157591819096, -210.5897285088718, -210.34052254886944, -210.05464109441562, -209.73286772673876, -209.3934343078265]","[-313.91033935546875, -314.63925514144114, -315.3763945851693, -316.1197372386355, -316.8672456512549, -317.61687095438646, -318.36655847713894, -319.1142533780816, -319.8579062774219, -320.5954788742126, -321.3249495331938, -322.0443188259546, -322.7516150112276, -323.44489943929585, -324.1222718657029, -324.7910655215681]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.07545351982116699,-211.00454711914062,-314.8579406738281,13.796651840209961,-24.818627494147954,-3.0581789408811337,-103.4945636134457,"[-210.78982543945312, -210.96604485144465, -211.10387425579142, -211.20293587166904, -211.26295817806866, -211.28377665801733, -211.2653342495076, -211.2076815019003, -211.11097643737273, -210.9754841177903, -210.80157591819096, -210.5897285088718, -210.34052254886944, -210.05464109441562, -209.73286772673876, -209.3934343078265]","[-313.91033935546875, -314.63925514144114, -315.3763945851693, -316.1197372386355, -316.8672456512549, -317.61687095438646, -318.36655847713894, -319.1142533780816, -319.8579062774219, -320.5954788742126, -321.3249495331938, -322.0443188259546, -322.7516150112276, -323.44489943929585, -324.1222718657029, -324.7910655215681]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.09088253974914551,-211.00454711914062,-314.8579406738281,13.796651840209961,-24.818627494147954,-3.0581789408811337,-103.4945636134457,"[-211.00454711914062, -211.16039347570467, -211.27763564384816, -211.35595227093117, -211.39512869651838, -211.39505754074833, -211.35573899865406, -211.27728083962884, -211.15989811203738, -211.00391255378355, -210.80975171044906, -210.5779477634209, -210.30913607121943, -210.00405342802648, -209.66353604419476, -209.30560443234168]","[-314.8579406738281, -315.5914823681769, -316.33217513728664, -317.0779887937215, -317.82687911404923, -318.57679344191564, -319.3256763142328, -320.071475095061, -320.812145601741, -321.5456577078569, -322.2700009076718, -322.9831898267841, -323.68326966390146, -324.3683215488159, -325.0364678019006, -325.69554667520504]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.11246490478515625,-211.13429260253906,-315.4515380859375,13.807751655578613,-24.883424024254595,-3.006463240932162,-103.09323434831099,"[-211.00454711914062, -211.16039347570467, -211.27763564384816, -211.35595227093117, -211.39512869651838, -211.39505754074833, -211.35573899865406, -211.27728083962884, -211.15989811203738, -211.00391255378355, -210.80975171044906, -210.5779477634209, -210.30913607121943, -210.00405342802648, -209.66353604419476, -209.30560443234168]","[-314.8579406738281, -315.5914823681769, -316.33217513728664, -317.0779887937215, -317.82687911404923, -318.57679344191564, -319.3256763142328, -320.071475095061, -320.812145601741, -321.5456577078569, -322.2700009076718, -322.9831898267841, -323.68326966390146, -324.3683215488159, -325.0364678019006, -325.69554667520504]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.14357829093933105,-211.23501586914062,-315.9271240234375,13.816356658935547,-25.019101691759516,-2.9135442197777373,-102.28300125473878,"[-211.00454711914062, -211.16039347570467, -211.27763564384816, -211.35595227093117, -211.39512869651838, -211.39505754074833, -211.35573899865406, -211.27728083962884, -211.15989811203738, -211.00391255378355, -210.80975171044906, -210.5779477634209, -210.30913607121943, -210.00405342802648, -209.66353604419476, -209.30560443234168]","[-314.8579406738281, -315.5914823681769, -316.33217513728664, -317.0779887937215, -317.82687911404923, -318.57679344191564, -319.3256763142328, -320.071475095061, -320.812145601741, -321.5456577078569, -322.2700009076718, -322.9831898267841, -323.68326966390146, -324.3683215488159, -325.0364678019006, -325.69554667520504]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.1584179401397705,-211.23501586914062,-315.9271240234375,13.816356658935547,-25.019101691759516,-2.9135442197777373,-102.28300125473878,"[-211.23501586914062, -211.37531724921075, -211.4768718677455, -211.53940137058893, -211.56273436871672, -211.54680690800168, -211.49166264450747, -211.39745272483043, -211.26443537181729, -211.09297517679428, -210.8835421002477, -210.636710183695, -210.35315597627726, -210.0336566803865, -209.67908802141886, -209.30730074988605]","[-315.9271240234375, -316.663796967798, -317.40680313443244, -318.15410599504287, -318.9036572443919, -319.6534024145648, -320.4012865061232, -321.145259620716, -321.8832825797083, -322.61333251342865, -323.33340840571407, -324.0415365785566, -324.7357761018179, -325.4142241131849, -326.07502103378954, -326.7263843922356]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
0.17678380012512207,-211.33074951171875,-316.40362548828125,13.824467658996582,-25.18057495426516,-2.8262773550585405,-101.46144171618933,"[-211.23501586914062, -211.37531724921075, -211.4768718677455, -211.53940137058893, -211.56273436871672, -211.54680690800168, -211.49166264450747, -211.39745272483043, -211.26443537181729, -211.09297517679428, -210.8835421002477, -210.636710183695, -210.35315597627726, -210.0336566803865, -209.67908802141886, -209.30730074988605]","[-315.9271240234375, -316.663796967798, -317.40680313443244, -318.15410599504287, -318.9036572443919, -319.6534024145648, -320.4012865061232, -321.145259620716, -321.8832825797083, -322.61333251342865, -323.33340840571407, -324.0415365785566, -324.7357761018179, -325.4142241131849, -326.07502103378954, -326.7263843922356]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0]"
